additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent
17778440.0,40464725.0,10611090.0,12112007.0,913952.0,2097954.0,1105648.0,2097954.0,ALZN,11308131.0,11350737.0,0.0,10014053.0,-698910.0,802007.0
,,369863.0,2349895.0,-16601.0,82013.0,229798.0,1127085.0,AM,9537.0,9609.0,0.0,10269.0,4648.0,79950.0
0.0,4999751.0,0.0,75000.0,0.0,50000.0,0.0,50000.0,AMAOW,0.0,25000.0,0.0,102025000.0,0.0,75000.0
76128.0,82621.0,51571.0,115704.0,-1288.0,22944.0,-36.0,25928.0,AMBA,17048.0,58944.0,0.0,92681.0,17823.0,77819.0
437137.0,1110462.0,4632036.2,4632037.0,474023.0,508166.0,3482192.2,3482263.0,AMC,425808.0,435799.0,0.0,3343423.0,218510.0,251547.0
0.0,5326019.0,,,,,,,AMCIU,,,0.0,151023874.0,,
,,3302686.0,4224144.0,,,557191.0,573485.0,AMH,-248209.0,148989.0,,,,
149368.0,784464.0,0.0,1147275.0,0.0,49235.0,0.0,448264.0,AMK,55207.0,105354.0,0.0,949422.0,1100.0,127856.0
8717108.0,10580027.0,0.0,3360414.0,431205.0,952273.0,0.0,2266741.0,AMPG,0.0,668633.0,,,0.0,1875826.0
8717108.0,10580027.0,0.0,3360414.0,431205.0,952273.0,0.0,2266741.0,AMPGW,0.0,668633.0,,,0.0,1875826.0
34458.0,205946.0,109646.0,371707.0,5327.0,65402.0,3165.0,87203.0,AMPH,3374.0,53587.0,0.0,319640.0,7281.0,172971.0
0.0,5000211.0,0.0,192165.0,0.0,168111.0,0.0,168111.0,AMPI,,,0.0,251674054.0,,
0.0,10905398.0,20722239.0,109502883.0,0.0,132329961.0,0.0,4197337.0,AMRC,0.0,692007.0,0.0,275757.0,0.0,171772421.0
487693.0,490857.0,280327.0,379150.0,10504.0,19101.0,17649.0,47179.0,AMRS,94343.0,112242.0,0.0,348100.0,176066.0,217019.0
17770.0,385275.0,-771.0,8487285.0,,,-23081.0,7721202.0,AMTB,-31410.0,103579.0,,,,
1703977.0,1741104.0,10567.0,499881.0,12831.0,100663.0,-3279.0,114732.0,AMWL,184720.0,232695.0,0.0,1256365.0,21549.0,321716.0
146411.0,160833.0,99023.0,124088.0,-4142.0,7539.0,,,ANAB,93197.0,115385.0,0.0,113900.0,27951.0,52352.0
182289.0,242374.0,96366.0,122994.0,73940.0,81295.0,78219.0,85936.0,ANGN,88849.0,114361.0,0.0,108133.0,-19573.0,6106.0
49155.0,201522.0,19255.0,72017.0,37490.0,108928.0,36820.0,111975.0,ANPC,11088.0,23975.0,,,17564.0,38416.0
8859.0,200976.0,328883.0,379875.0,558475.0,1126418.0,1109748.0,1677691.0,ANVS,0.0,56.2,0.0,9659.0,306971.0,357963.0
,,,,,,,,ANZUU,,,0.0,422024299.0,,
,,,,,,,,ANZUW,,,0.0,422024299.0,,
