technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,Citigroup,Citi,Morgan Stanley,Ubs,Barclays,Volume,Day,Close,Diff,Price_Public_Total,Symbol,Public_Price_Per_Share,Raymond James,Piper Jaffray,Wells Fargo,Merrill Lynch,Rbc Capital,Morgan Stanley.1,Merrill Lynch.1,Eli Lilly,Credit Suisse,Stifel,Jefferies,Hill Road,Robert W. Baird,William Blair,Goldman Sachs,Deutsche Bank,Davis Polk,William Blair.1,Goldman Sachs.1
331,13,60,7,2,0,305,1,175,13,0,2,0,0,5,6,17,0,0,0,0,25,0,25,24,162,2,0,0,3,0,3,3,1,0,,,,1.0,,655983,2021-07-22 20:00:00.000 -0400,22.885,1.185,200000000.0,ABSI,16.0,,,,,,,,,1.0,1.0,,,,,,,,,
17,8,0,0,0,0,13,0,97,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,9,0,10,0,0,0,0,264,0,1,1,,1.0,,1.0,,82336,2015-10-08 20:00:00.000 -0400,22.55,-0.63,54600000.0,ABTX,21.0,1.0,,,,,,,,,,,,2.0,,,,,,
30,3,1,0,2,0,0,3,13,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,,,,1.0,,569997,2022-03-07 19:00:00.000 -0500,0.16,0.0,261000000.0,ACABW,10.0,,,,,,,,,,,,,,,,,,,
23,1,0,2,2,0,4,4,11,2,0,2,0,0,0,5,0,0,0,0,2,4,2,0,2,0,0,0,0,0,0,66,0,2,0,,,,1.0,,155000,2022-03-23 20:00:00.000 -0400,9.81,-0.04,1764875.0,ACAX,0.4,,,,,,,,,,,,,,,,,,,
23,1,0,2,2,0,4,4,11,2,0,2,0,0,0,5,0,0,0,0,2,4,2,0,2,0,0,0,0,0,0,66,0,2,0,,,,1.0,,847482,2022-02-01 19:00:00.000 -0500,9.96,0.0,75000000.0,ACAXU,10.0,,,,,,,,,,,,,,,,,,,
16,3,2,0,0,0,3,8,10,2,0,0,1,0,0,2,0,49,9,1,0,3,1,0,1,0,5,0,0,0,0,2,0,1,0,,,5.0,1.0,,94967,2021-04-06 20:00:00.000 -0400,10.13,0.12,40000000.0,ACBAU,10.0,,,,,,1.0,,,,,,,,,,,,,
33,2,0,0,0,0,2,1,149,0,0,0,0,0,0,4,4,0,0,0,0,62,0,75,55,587,3,0,0,0,0,0,4,0,0,,1.0,,1.0,,203022,2018-01-25 19:00:00.000 -0500,11.35,-0.16,85000008.0,ACET,15.0,,,,3.0,,,1.0,,,,,,,,,,,,
15,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,,1.0,,1.0,1.0,171433,2021-06-13 20:00:00.000 -0400,25.47,0.04,502450400.0,ACGLN,92.5,,,,,,,,,,,,,,,,1.0,,,
10,13,0,0,0,0,7,0,93,0,0,0,0,0,0,3,11,0,0,0,0,154,0,3,47,6,0,1,0,0,0,7,1,5,0,1.0,1.0,,1.0,,28825,2012-01-10 19:00:00.000 -0500,11.33,-0.16,62500000.0,ACHC,7.5,5.0,,,,1.0,,,,,,1.0,,,,,,,,
59,1,0,0,0,0,64,0,232,0,3,13,0,0,0,20,1,0,0,0,0,106,1,54,65,624,0,0,0,0,0,1,4,2,0,,1.0,,1.0,,497032,2021-03-31 20:00:00.000 -0400,16.28,-0.27,175500000.0,ACHL,18.0,,,,,,,,,,,,,,,,,,,
16,3,2,0,2,0,2,2,14,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,1,0,0,0,0,7,1,0,0,,,,1.0,,10357,2021-03-29 20:00:00.000 -0400,9.66,-0.28,300000000.0,ACII,10.0,,,,6.0,,,,,,,,,,,,,,,
10,0,0,0,2,0,0,5,9,0,0,0,0,0,0,14,2,0,0,0,0,1,0,2,15,0,2,0,0,0,0,3,1,1,0,,,,1.0,,20504,2021-02-04 19:00:00.000 -0500,10.21,-0.0262,120000000.0,ACKIT,10.0,,,,,,,,,,,,,,,,,,,
10,0,0,0,2,0,0,5,9,0,0,0,0,0,0,14,2,0,0,0,0,1,0,2,15,0,2,0,0,0,0,3,1,1,0,,,,1.0,,444375,2020-12-21 19:00:00.000 -0500,10.19,0.05,120000000.0,ACKIU,10.0,,,,,,,,,,,,,,,,,,,
10,0,0,0,2,0,0,5,9,0,0,0,0,0,0,14,2,0,0,0,0,1,0,2,15,0,2,0,0,0,0,3,1,1,0,,,,1.0,,174831,2021-02-04 19:00:00.000 -0500,1.25,-0.25,120000000.0,ACKIW,10.0,,,,,,,,,,,,,,,,,,,
261,88,21,6,7,2,16,2,208,1,1,0,0,0,3,1,4,0,5,1,4,85,0,1,171,242,0,0,0,0,0,0,0,0,0,,1.0,,1.0,,1682204,2022-04-21 20:00:00.000 -0400,2.65,-0.25,9417750.0,ACON,0.58,,,,,,,,,,,,,,,,,,,
261,88,21,6,7,2,16,2,208,1,1,0,0,0,3,1,4,0,5,1,4,85,0,1,171,242,0,0,0,0,0,0,0,0,0,,1.0,,1.0,,41502,2025-01-14 19:00:00.000 -0500,0.029,0.0051,16498561.0,ACONW,0.58,,,,,,,,,,,,,,,,,,,
78,76,0,2,10,0,7,18,89,11,0,14,2,2,2,2,4,2,12,0,2,7,0,0,0,2,0,0,0,3,0,17,0,0,0,1.0,1.0,,1.0,,2576237,2021-03-09 19:00:00.000 -0500,10.07,0.07,435000000.0,ACQRU,10.0,,,,,,,,,,,,,,,,1.0,1.0,,
7,1,0,0,2,0,20,1,7,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,47,2,0,1,0,4,0,7,0,1.0,1.0,6.0,1.0,1.0,300,2021-08-29 20:00:00.000 -0400,9.72,-0.07,300000000.0,ACRO,10.0,,,,,,,,,1.0,,,,,,,,,,
27,1,0,0,0,0,0,0,103,0,0,0,0,0,0,4,4,0,0,0,0,70,2,61,34,376,0,2,0,3,0,1,0,1,0,1.0,1.0,,1.0,,123812,2015-10-07 20:00:00.000 -0400,10.99,-0.11,55000000.0,ACRS,11.0,,,,,,,,,,,1.0,1.0,,3.0,,,,1.0,
162,50,0,4,4,1,180,116,230,2,0,14,0,0,0,3,4,0,21,5,9,0,0,0,2,1,1,0,0,0,0,2,3,76,70,1.0,1.0,,1.0,,3076736,2021-03-24 20:00:00.000 -0400,30.0,-1.24,413750016.0,ACVA,25.0,1.0,,,1.0,,,,,,,1.0,,,,8.0,,1.0,,1.0
25,0,0,0,3,0,18,52,43,4,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,,,,1.0,1.0,591413,2021-10-28 20:00:00.000 -0400,10.05,-0.01,200000000.0,ADALU,10.0,,,,,,,,,1.0,,,,,,,,,,
25,0,0,0,3,0,18,52,43,4,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,,,,1.0,1.0,1890,2021-12-27 19:00:00.000 -0500,0.58,0.02,200000000.0,ADALW,10.0,,,,,,,,,1.0,,,,,,,,,,
89,3,0,0,0,0,50,0,84,0,0,1,0,0,0,16,2,0,0,0,0,50,7,42,31,474,0,1,0,0,0,0,1,0,0,,1.0,,1.0,,1764218,2015-05-06 20:00:00.000 -0400,17.19,1.44,191250000.0,ADAP,17.0,,,,6.0,,,1.0,,,,,,,,,,,,
13,3,0,0,2,0,3,1,10,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,,,,1.0,,78681,2021-03-08 19:00:00.000 -0500,9.7518,-0.0982,240000000.0,ADER,10.0,,,,,,,,,,,,,,,,,,,
13,3,0,0,2,0,3,1,10,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,,,,1.0,,1000,2021-01-15 19:00:00.000 -0500,10.6,-0.02,240000000.0,ADERU,10.0,,,,,,,,,,,,,,,,,,,
13,3,0,0,2,0,3,1,10,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,,,,1.0,,120003,2021-03-08 19:00:00.000 -0500,1.08,0.13,240000000.0,ADERW,10.0,,,,,,,,,,,,,,,,,,,
54,6,0,0,2,0,13,30,16,16,0,2,6,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,4,0,0,0,,,3.0,1.0,,247002,2021-03-02 19:00:00.000 -0500,9.76,0.06,240000000.0,ADEX,10.0,,,,,,,,,,,,,,,,,,,
10,15,21,0,0,0,8,8,49,3,0,0,0,0,0,1,1,0,0,0,4,70,3,8,22,5,0,0,0,0,0,5,4,3,0,,,3.0,1.0,,86762,2020-12-09 19:00:00.000 -0500,9.98,0.13,90000000.0,ADOC,10.0,,,,1.0,,,,,,,,,,,,,,,
10,15,21,0,0,0,8,8,49,3,0,0,0,0,0,1,1,0,0,0,4,70,3,8,22,5,0,0,0,0,0,5,4,3,0,,,3.0,1.0,,22490,2020-12-09 19:00:00.000 -0500,0.33,0.03,90000000.0,ADOCR,10.0,,,,1.0,,,,,,,,,,,,,,,
86,31,0,28,22,0,129,1,231,1,2,1,0,0,4,3,8,0,0,0,0,102,1,8,83,408,0,0,0,0,0,2,1,1,0,,1.0,,1.0,,5380464,2019-06-27 20:00:00.000 -0400,48.7,7.3,300000000.0,ADPT,26.5,,,,,,,,,,,,,,3.0,2.0,,,,1.0
9,0,0,0,2,0,0,8,10,0,0,0,0,0,0,4,3,1,0,0,0,1,0,0,4,0,1,0,0,0,0,4,0,1,0,,,,1.0,,178,2019-12-16 19:00:00.000 -0500,34.7729,0.0,100000000.0,ADRA,3.0,,,,,,,,,,,,,,,,,,,
99,37,0,0,17,0,33,3,127,2,0,71,0,0,5,6,94,2,18,0,0,0,0,0,19,0,5,0,0,0,0,5,0,4,0,,,7.0,1.0,1.0,1721,2018-01-19 19:00:00.000 -0500,12.39,0.04,1470000000.0,ADT,9.6,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,
50,43,0,0,2,0,7,1,9,0,0,0,0,0,0,3,2,0,0,0,0,1,0,3,0,0,2,0,0,0,0,3,0,0,0,,,,1.0,,121646,2021-12-22 19:00:00.000 -0500,10.25,0.35,275000000.0,ADTH,791.0,,,,,,,,,,,,,,,,,,,
73,3,0,0,0,0,13,1,59,0,0,0,0,0,0,2,1,1,0,0,0,2,3,6,16,184,1,0,0,0,0,2,0,0,0,,,,1.0,,212347,2020-06-30 20:00:00.000 -0400,4.52,-0.97,11040012.0,ADTX,4.0,,,,,,,,,,,,,,,,,,,
15,0,0,0,0,0,20,0,86,0,0,0,0,0,0,25,2,0,0,0,0,55,2,61,40,316,0,0,0,0,0,1,0,0,0,,1.0,,1.0,,200,2020-01-28 19:00:00.000 -0500,14.5,0.0,10000000.0,ADXN,10.0,,,,,,,,2.0,,,,,,,,,,,
2,0,0,0,2,0,2,5,54,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,,,,1.0,,50028,2021-03-08 19:00:00.000 -0500,9.7304,-0.0396,200000000.0,AEAC,10.0,,,,,,,,,,,1.0,,,,,,,,
2,0,0,0,2,0,2,5,54,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,,,,1.0,,1100,2021-01-15 19:00:00.000 -0500,10.42,0.0,200000000.0,AEACU,10.0,,,,,,,,,,,1.0,,,,,,,,
2,0,0,0,2,0,2,5,54,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,,,,1.0,,167624,2021-03-08 19:00:00.000 -0500,0.85,-0.0705,200000000.0,AEACW,10.0,,,,,,,,,,,1.0,,,,,,,,
33,3,0,0,2,0,0,1,13,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,213,23,11,16,4,4,0,3,3,,,10.0,1.0,,100,2021-12-12 19:00:00.000 -0500,10.0,0.0,200000000.0,AEAE,10.0,,,,,,1.0,,,,,,,,,,,,,
24,0,2,2,2,0,4,27,15,0,0,0,0,0,0,5,0,0,0,0,0,56,0,38,24,0,24,11,3,2,0,0,0,0,0,,,,1.0,,69890,2021-09-15 20:00:00.000 -0400,10.07,0.02,100000000.0,AEHAU,10.0,,,,,,,,,,,,,,,,,,,
10,0,0,0,2,0,3,1,11,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,75,0,0,0,0,12,0,2,0,,,,1.0,,269647,2021-11-10 19:00:00.000 -0500,10.07,0.01,150000000.0,AFACU,10.0,,,,,,,,,,,,,,,,,,,
100,14,0,0,2,0,12,60,67,0,0,0,44,28,0,8,0,17,3,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,,,,1.0,,342720,2022-04-13 20:00:00.000 -0400,9.985,0.005,100000000.0,AFARU,10.0,,,,,,,,,,,,,,,,,,,
128,44,0,0,1,0,13,1,251,0,7,0,0,0,2,10,19,0,0,0,3,110,0,3,245,240,7,0,0,2,0,0,0,1,0,,1.0,1.0,1.0,,645235,2020-08-06 20:00:00.000 -0400,27.8613,0.3613,158823520.0,AFIB,14.0,,,,,,,,,,,,,,2.0,,,1.0,,
149,84,7,11,20,0,338,21,243,37,0,0,0,0,3,5,15,35,19,38,58,0,0,0,1,0,2,0,0,0,0,1,0,0,0,,,13.0,1.0,1.0,20810407,2021-01-13 19:00:00.000 -0500,116.75,17.2,1205400064.0,AFRM,49.0,,,,,1.0,1.0,,,1.0,,,2.0,,,1.0,1.0,1.0,,
100,64,16,4,8,0,7,19,69,14,0,0,0,0,2,4,1,0,0,0,4,150,0,7,17,6,3,0,0,0,0,4,0,0,0,,,,1.0,,100,2021-10-03 20:00:00.000 -0400,9.71,0.0,250000000.0,AFTR,10.0,,,,,,,,,,,,,,,5.0,1.0,,,1.0
46,11,0,2,8,0,2,1,46,5,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1.0,1.0,4.0,1.0,,1149943,2021-01-07 19:00:00.000 -0500,12.6,-0.65,400000000.0,AGCB,10.0,,,,,,1.0,,,,,,4.0,,,1.0,,,,
76,82,1,0,8,15,7,6,62,5,1,9,0,0,0,23,14,0,0,0,0,3,0,0,17,0,3,0,0,0,1,0,1,2,1,,,,1.0,,1181206,2021-01-28 19:00:00.000 -0500,11.39,-1.35,75000000.0,AGFY,10.0,,,,,,,,,,,,,,,,,,,
198,204,0,7,8,0,2,24,72,7,0,9,0,0,0,5,2,0,1,0,0,20,0,0,3,0,0,0,0,0,0,1,0,0,1,1.0,1.0,,1.0,,2044397,2021-03-10 19:00:00.000 -0500,9.99,0.02,300000000.0,AGGRU,10.0,,,,,,,,,,,1.0,,,,,,,,
10,1,1,0,1,0,5,6,33,1,0,0,0,0,3,18,6,0,2,1,3,1,0,0,0,0,1,1,0,0,0,15,1,2,1,,,,1.0,,2338749,2025-02-11 19:00:00.000 -0500,3.9,-0.47,2790000.0,AGH,6528.0,,,,,,,,,,,,,,,,,,,
55,3,0,0,0,0,16,0,82,0,0,0,0,0,0,3,4,0,0,0,0,28,0,45,46,287,13,0,0,0,0,1,0,0,0,,1.0,,1.0,,583613,2013-07-24 20:00:00.000 -0400,28.0,-3.89,105999984.0,AGIO,44.0,,,,,,,,2.0,,,,,,,,,1.0,,
30,23,0,1,2,0,217,0,165,14,0,0,0,0,4,24,8,0,3,0,1,354,0,1,330,60,0,0,0,0,0,0,0,0,0,,,19.0,1.0,,2019075,2021-04-15 20:00:00.000 -0400,29.65,-1.29,1071800000.0,AGL,30.0,,,5.0,,,1.0,,,,,,,,2.0,1.0,1.0,,1.0,
34,5,0,0,4,0,0,0,71,0,0,0,0,0,0,0,2,0,0,0,0,50,0,44,32,343,1,0,0,0,0,1,0,0,0,,1.0,,1.0,,549241,2016-04-07 20:00:00.000 -0400,12.15,2.17,50000000.0,AGLE,10.0,,,2.0,,,,,2.0,,,,,,,,,1.0,,
134,93,0,0,4,6,129,1,33,2,4,2,0,0,1,30,3,1,35,0,0,0,0,2,3,0,0,1,0,2,0,4,1,0,0,,,,1.0,,298813,2018-04-18 20:00:00.000 -0400,8.54,1.77,7000000.0,AGMH,0.33,,,,,,,,,,,,,,,,,,,
5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,49,0,0,0,1.0,1.0,5.0,1.0,,1107527,2008-05-15 20:00:00.000 -0400,19.75,0.5,200000000.0,AGNC,20.0,,,,23.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,
5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,49,0,0,0,1.0,1.0,5.0,1.0,,67935,2019-03-05 19:00:00.000 -0500,24.8,0.05,200000000.0,AGNCM,20.0,,,,23.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,
5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,49,0,0,0,1.0,1.0,5.0,1.0,,329218,2019-10-03 20:00:00.000 -0400,25.12,-0.03,200000000.0,AGNCO,20.0,,,,23.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,
61,6,10,2,0,0,4,0,20,1,0,14,0,0,0,5,4,0,0,0,1,0,1,14,6,0,9,0,4,0,0,4,1,1,0,,,,1.0,,19848601,2021-07-08 20:00:00.000 -0400,5.46,-0.29,13599995.0,AGRI,5.0,,,3.0,,,,,,,,,,,,,,,,
61,6,10,2,0,0,4,0,20,1,0,14,0,0,0,5,4,0,0,0,1,0,1,14,6,0,9,0,4,0,0,4,1,1,0,,,,1.0,,1653175,2021-07-08 20:00:00.000 -0400,1.4,-0.77,13599995.0,AGRIW,5.0,,,3.0,,,,,,,,,,,,,,,,
1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,10,0,0,0,0,0,1,0,0,0,,,,1.0,,3328440,2014-05-22 20:00:00.000 -0400,5.54,0.04,7500000.0,AGRX,3.96,,,,,,,,,,,,,,,,,,,
62,2,0,0,0,0,58,1,144,0,0,0,0,0,0,3,6,0,0,0,0,25,4,39,37,463,0,0,0,0,0,0,0,0,0,,1.0,,1.0,,174864,2014-03-27 20:00:00.000 -0400,14.6,-0.31,50000004.0,AGTC,5.0,,,,,,,,1.0,,,,1.0,,,,,,,
11,1,0,0,0,0,7,1,41,0,0,0,0,0,0,0,29,0,0,0,0,11,0,0,17,0,4,1,0,0,0,335,0,1,0,,,,1.0,,273283,2013-05-08 20:00:00.000 -0400,11.5,-0.16,190037504.0,AHH,11.5,4.0,,3.0,,,,,,,1.0,,,5.0,,,,,,
201,68,28,9,41,1,106,36,193,7,0,0,0,0,0,21,13,2,26,19,3,31,2,2,33,5,2,0,0,0,0,0,0,0,0,,1.0,,1.0,,7798,2021-11-19 19:00:00.000 -0500,4.2,0.05,10500000.0,AHI,10.5,,,,,,,,,,,,,,,,,,,
19,1,0,0,2,0,2,5,44,2,0,0,0,0,0,4,0,0,0,0,2,151,0,25,29,7,0,0,0,0,0,1,1,2,0,,,,1.0,,122862,2021-09-30 20:00:00.000 -0400,10.0,0.15,200000000.0,AHPA,10.0,,,,,,,,,1.0,,,,,,,,,,
19,1,0,0,2,0,2,5,44,2,0,0,0,0,0,4,0,0,0,0,2,151,0,25,29,7,0,0,0,0,0,1,1,2,0,,,,1.0,,214953,2021-08-10 20:00:00.000 -0400,10.02,0.02,200000000.0,AHPAU,10.0,,,,,,,,,1.0,,,,,,,,,,
19,1,0,0,2,0,2,5,44,2,0,0,0,0,0,4,0,0,0,0,2,151,0,25,29,7,0,0,0,0,0,1,1,2,0,,,,1.0,,5000,2021-09-30 20:00:00.000 -0400,0.6,0.0,200000000.0,AHPAW,10.0,,,,,,,,,1.0,,,,,,,,,,
84,6,4,8,2,0,21,3,46,0,0,0,0,0,0,4,1,2,0,0,0,6,0,0,0,1,16,0,0,0,0,1,0,0,0,1.0,1.0,,1.0,,1228586,2021-12-15 19:00:00.000 -0500,10.0,0.04,275000000.0,AHRNU,10.0,,,,4.0,,,1.0,,,,,,,,,,,,
123,236,1083,55,109,7,56,54,292,37,1,3,0,0,4,115,6,0,2,0,7,7,0,0,2,0,19,2,0,1,0,1,1,2,2,,1.0,8.0,1.0,,22786159,2020-12-09 19:00:00.000 -0500,127.05,32.55,651000000.0,AI,42.0,,,,,,1.0,,,,,,,,,,,,,
6,0,0,0,0,0,4,6,38,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,1.0,,716522,2022-02-23 19:00:00.000 -0500,9.8,-0.02,75000000.0,AIB,10.0,,,,,,,,,,,,,,,,,,,
6,0,0,0,0,0,4,6,38,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,1.0,,1690510,2022-02-23 19:00:00.000 -0500,0.1605,-0.0195,75000000.0,AIBBR,10.0,,,,,,,,,,,,,,,,,,,
6,0,0,0,0,0,4,6,38,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,1.0,,325051,2022-01-19 19:00:00.000 -0500,9.95,-0.03,75000000.0,AIBBU,10.0,,,,,,,,,,,,,,,,,,,
171,218,49,17,18,0,4,3,227,0,0,4,1,0,1,8,13,0,3,0,4,2,0,0,4,0,0,0,0,0,3,4,1,3,74,,1.0,,1.0,,477341,2021-10-27 20:00:00.000 -0400,18.0,0.59,70000000.0,AIP,14.0,,,,,,,,,,,1.0,,,,,,,,
11,0,9,0,0,0,35,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,1.0,,19462,2023-10-22 20:00:00.000 -0400,113.0,89.99,2000000.0,AIRE,0.15,,,,,,,,,,,,,,,,,,,
112,41,27,10,1,0,56,2,100,3,1,4,0,0,4,5,18,2,0,0,3,1,0,1,4,1,8,0,1,196,5,3,7,25,0,,1.0,6.0,1.0,,14686686,2025-06-12 20:00:00.000 -0400,28.1,15.2,77700000.0,AIRO,18.5,,,,,,,,,,,,,,,,,,,
62,24,0,0,7,3,69,46,165,8,0,2,0,4,3,6,6,0,37,2,0,1,0,0,0,0,2,0,0,0,0,5,8,9,1,,,1.0,1.0,,1198136,2021-09-22 20:00:00.000 -0400,9.94,-0.39,110000000.0,AKA,11.0,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,
4,7,2,0,0,0,1,0,15,0,0,0,0,0,0,1,0,0,0,0,0,3,1,6,93,9,5,0,0,0,3,1,4,2,0,,,,1.0,,7376990,2022-03-15 20:00:00.000 -0400,10.32,0.43,1500000.0,AKAN,0.12,,,,,,,,,,,,,,,,,,,
19,1,0,0,0,0,0,0,87,0,3,0,0,0,0,1,6,0,0,0,0,49,0,32,42,351,0,0,0,0,1,0,0,0,0,,1.0,7.0,1.0,,432988,2014-03-20 20:00:00.000 -0400,23.61,-1.92,100000000.0,AKBA,17.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,
9,2,0,0,0,5,5,6,44,4,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,,1516551,2021-01-06 19:00:00.000 -0500,10.59,-0.11,200000000.0,AKICU,10.0,,,,,,,,,,,,,,,,1.0,,,
1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,2,23,0,0,0,0,0,0,0,0,0,,,6.0,1.0,,290431,2019-06-20 20:00:00.000 -0400,19.25,0.85,188213984.0,AKRO,16.0,,,,,,1.0,,,,,1.0,,,,,,,,
