additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent,technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,citigroup,citi,morgan stanley,ubs,barclays,volume,day,close,diff,price_public_total,public_price_per_share_x,raymond james,piper jaffray,wells fargo,merrill lynch,rbc capital,morgan stanley.1,merrill lynch.1,eli lilly,credit suisse,stifel,jefferies,hill road,robert w. baird,william blair,goldman sachs,deutsche bank,davis polk,william blair.1,goldman sachs.1,public_price_per_share_y,url,ipo_date,document_length
5002949.0,5007575.0,,,0.0,219060.0,0.0,300462.0,ACKIT,0.0,13248.0,0.0,121847293.0,0.0,220573.0,10,0,0,0,2,0,0,5,9,0,0,0,0,0,0,14,2,0,0,0,0,1,0,2,15,0,2,0,0,0,0,3,1,1,0,,,,1.0,,20504,2021-02-04 19:00:00.000 -0500,10.21,-0.0262,120000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1790121/000121390020044023/f424b4_ackrellspac1.htm,2021-02-04,3129005
5002949.0,5007575.0,,,0.0,219060.0,0.0,300462.0,ACKIU,0.0,13248.0,0.0,121847293.0,0.0,220573.0,10,0,0,0,2,0,0,5,9,0,0,0,0,0,0,14,2,0,0,0,0,1,0,2,15,0,2,0,0,0,0,3,1,1,0,,,,1.0,,444375,2020-12-21 19:00:00.000 -0500,10.19,0.05,120000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1790121/000121390020044023/f424b4_ackrellspac1.htm,2020-12-21,3129005
5002949.0,5007575.0,,,0.0,219060.0,0.0,300462.0,ACKIW,0.0,13248.0,0.0,121847293.0,0.0,220573.0,10,0,0,0,2,0,0,5,9,0,0,0,0,0,0,14,2,0,0,0,0,1,0,2,15,0,2,0,0,0,0,3,1,1,0,,,,1.0,,174831,2021-02-04 19:00:00.000 -0500,1.25,-0.25,120000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1790121/000121390020044023/f424b4_ackrellspac1.htm,2021-02-04,3129005
0.0,32440640.0,0.0,2856976.0,0.0,8375359.0,,,ACON,0.0,452530.0,,,0.0,732204.0,261,88,21,6,7,2,16,2,208,1,1,0,0,0,3,1,4,0,5,1,4,85,0,1,171,242,0,0,0,0,0,0,0,0,0,,1.0,,1.0,,1682204,2022-04-21 20:00:00.000 -0400,2.65,-0.25,9417750.0,0.58,,,,,,,,,,,,,,,,,,,,4.35,https://www.sec.gov/Archives/edgar/data/1635077/000168316822002903/aclarion_424b4.htm,2022-04-21,1549995
0.0,32440640.0,0.0,2856976.0,0.0,8375359.0,,,ACONW,0.0,452530.0,,,0.0,732204.0,261,88,21,6,7,2,16,2,208,1,1,0,0,0,3,1,4,0,5,1,4,85,0,1,171,242,0,0,0,0,0,0,0,0,0,,1.0,,1.0,,41502,2025-01-14 19:00:00.000 -0500,0.029,0.0051,16498561.0,0.58,,,,,,,,,,,,,,,,,,,,0.1,https://www.sec.gov/Archives/edgar/data/1635077/000168316825000389/aclarion_424b4.htm,2025-01-14,1549995
0.0,23749.0,0.0,436009070.0,0.0,115427.0,0.0,15225000.0,ACQRU,,,,,0.0,13162.0,78,76,0,2,10,0,7,18,89,11,0,14,2,2,2,2,4,2,12,0,2,7,0,0,0,2,0,0,0,3,0,17,0,0,0,1.0,1.0,,1.0,,2576237,2021-03-09 19:00:00.000 -0500,10.07,0.07,435000000.0,10.0,,,,,,,,,,,,,,,,1.0,1.0,,,10.0,https://www.sec.gov/Archives/edgar/data/1837393/000119312521076685/d134197d424b4.htm,2021-03-09,1717009
4974969.0,4999571.0,751814.0,834714.0,,,751814.0,809714.0,ACRO,0.0,25000.0,0.0,300625000.0,,,7,1,0,0,2,0,20,1,7,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,47,2,0,1,0,4,0,7,0,1.0,1.0,6.0,1.0,1.0,300,2021-08-29 20:00:00.000 -0400,9.72,-0.07,300000000.0,10.0,,,,,,,,,1.0,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1847891/000110465921090557/tm217785-15_424b4.htm,2021-08-29,1853784
0.0,126860.0,78633.0,92840.0,1084.0,1451.0,1085.0,1455.0,ACRS,82010.0,91598.0,0.0,91646.0,2948.0,16334.0,27,1,0,0,0,0,0,0,103,0,0,0,0,0,0,4,4,0,0,0,0,70,2,61,34,376,0,2,0,3,0,1,0,1,0,1.0,1.0,,1.0,,123812,2015-10-07 20:00:00.000 -0400,10.99,-0.11,55000000.0,11.0,,,,,,,,,,,1.0,1.0,,3.0,,,,1.0,,11.0,https://www.sec.gov/Archives/edgar/data/1557746/000104746915007742/a2226189z424b4.htm,2015-10-07,2042024
758650.0,778446.0,484957.0,789475.0,69019.0,166701.0,78718.0,177910.0,ACVA,436375.0,618650.0,0.0,611565.0,86207.0,354405.0,162,50,0,4,4,1,180,116,230,2,0,14,0,0,0,3,4,0,21,5,9,0,0,0,2,1,1,0,0,0,0,2,3,76,70,1.0,1.0,,1.0,,3076736,2021-03-24 20:00:00.000 -0400,30.0,-1.24,413750016.0,25.0,1.0,,,1.0,,,,,,,1.0,,,,8.0,,1.0,,1.0,25.0,https://www.sec.gov/Archives/edgar/data/1637873/000119312521092803/d34258d424b4.htm,2021-03-24,1844582
0.0,24281.0,477479.0,750763.0,477479.0,732956.0,477479.0,732956.0,ADALU,-65131.0,4869.0,,,477479.0,750763.0,25,0,0,0,3,0,18,52,43,4,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,,,,1.0,1.0,591413,2021-10-28 20:00:00.000 -0400,10.05,-0.01,200000000.0,10.0,,,,,,,,,1.0,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1853928/000119312521312519/d79631d424b4.htm,2021-10-28,1436871
0.0,24281.0,477479.0,750763.0,477479.0,732956.0,477479.0,732956.0,ADALW,-65131.0,4869.0,,,477479.0,750763.0,25,0,0,0,3,0,18,52,43,4,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,,,,1.0,1.0,1890,2021-12-27 19:00:00.000 -0500,0.58,0.02,200000000.0,10.0,,,,,,,,,1.0,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1853928/000119312521312519/d79631d424b4.htm,2021-12-27,1436871
,,168645.0,201242.0,,,0.0,31182.0,ADAP,247078.0,277183.0,0.0,267605.0,0.0,31757.0,89,3,0,0,0,0,50,0,84,0,0,1,0,0,0,16,2,0,0,0,0,50,7,42,31,474,0,1,0,0,0,0,1,0,0,,1.0,,1.0,,1764218,2015-05-06 20:00:00.000 -0400,17.19,1.44,191250000.0,17.0,,,,6.0,,,1.0,,,,,,,,,,,,,17.0,https://www.sec.gov/Archives/edgar/data/1621227/000104746915004459/a2224671z424b4.htm,2015-05-06,2787332
