technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,citigroup,citi,morgan stanley,ubs,barclays,volume,day,close,diff,price_public_total,symbol,public_price_per_share,raymond james,piper jaffray,wells fargo,merrill lynch,rbc capital,morgan stanley.1,merrill lynch.1,eli lilly,credit suisse,stifel,jefferies,hill road,robert w. baird,william blair,goldman sachs,deutsche bank,davis polk,william blair.1,goldman sachs.1,url,ipo_date
77,0,3,0,4,0,3,5,49,0,0,0,5,0,0,4,1,0,5,0,5,0,0,0,3,0,0,0,0,0,0,17,0,0,3,,,27.0,1.0,,1850,2021-12-08 19:00:00.000 -0500,9.85,0.0,150000000.0,FNVT,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1857855/000149315221027230/form424b4.htm,2021-12-08
77,0,3,0,4,0,3,5,49,0,0,0,5,0,0,4,1,0,5,0,5,0,0,0,3,0,0,0,0,0,0,17,0,0,3,,,27.0,1.0,,160607,2021-11-04 20:00:00.000 -0400,10.1,0.01,150000000.0,FNVTU,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1857855/000149315221027230/form424b4.htm,2021-11-04
24,11,0,0,0,0,4,0,106,0,0,0,0,0,2,3,23,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,1.0,,1003321,2018-07-26 20:00:00.000 -0400,38.0,0.96,535135168.0,FOCS,33.0,1.0,,,10.0,1.0,,1.0,,,,,1.0,,2.0,1.0,,1.0,1.0,,https://www.sec.gov/Archives/edgar/data/1651052/000104746918005237/a2236327z424b4.htm,2018-07-26
101,183,0,3,10,13,41,6,325,100,0,1,2,0,5,15,12,0,2,0,21,59,0,10,74,7,1,0,0,0,0,3,1,9,1,,,,1.0,,257212,2021-03-03 19:00:00.000 -0500,15.37,-9.23,227.0,FORA,206.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1829280/000114036121004789/nt10016579x16_424b4.htm,2021-03-03
103,113,18,2,113,124,425,86,264,8,0,3,0,0,14,112,13,0,15,3,2,2,0,0,3,0,0,0,0,1,0,5,1,0,1,,,8.0,1.0,,6443021,2021-09-16 20:00:00.000 -0400,45.35,7.82,275000000.0,FORG,25.0,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,https://www.sec.gov/Archives/edgar/data/1543916/000119312521276125/d127368d424b4.htm,2021-09-16
74,19,0,4,10,6,4,29,65,2,0,3,0,2,4,4,2,2,9,0,3,3,0,0,0,0,0,0,0,0,0,4,0,2,0,,,,1.0,,110822,2021-12-06 19:00:00.000 -0500,9.865,-0.135,275000000.0,FOUN,10.0,,,,,,,,,,,1.0,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1862068/000182912621012033/founderspac_424b4.htm,2021-12-06
74,19,0,4,10,6,4,29,65,2,0,3,0,2,4,4,2,2,9,0,3,3,0,0,0,0,0,0,0,0,0,4,0,2,0,,,,1.0,,1113919,2021-12-06 19:00:00.000 -0500,0.6,0.08,275000000.0,FOUNW,10.0,,,,,,,,,,,1.0,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1862068/000182912621012033/founderspac_424b4.htm,2021-12-06
25,5,0,0,0,0,5,0,35,0,0,0,0,0,0,2,4,0,1,0,0,1,0,0,1,0,1,0,0,2,0,2,0,1,0,,,,1.0,,303300,2013-08-08 20:00:00.000 -0400,18.5,-0.2,73354000.0,FOXF,15.0,,,,9.0,,,1.0,,,,,,1.0,,,,,,,,
6,1,3,3,0,0,3,0,8,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,4,1,0,0,0,0,0,0,0,0,0,,,,1.0,,531563,2022-09-15 20:00:00.000 -0400,5.8,-3.5,280873.0,FOXO,280873.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1812360/000164117225014359/form424b4.htm,2022-09-15
35,0,0,2,5,0,5,0,14,2,0,0,0,0,2,1,0,0,4,0,0,99,3,9,30,21,0,0,0,0,0,0,0,0,0,,,,1.0,,539287,2021-02-25 19:00:00.000 -0500,10.0,0.0,50000000.0,FOXW,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1829999/000149315221001505/form424b4.htm,2021-02-25
9,0,0,0,0,0,10,1,10,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,2,0,0,1,0,1,3,0,0,,,,1.0,,446849,2020-06-25 20:00:00.000 -0400,1.5,-0.2,261000000.0,FREEW,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1753706/000121390019007323/f24b40419_actiiglobal.htm,2020-06-25
88,0,0,0,0,0,72,0,144,0,0,0,0,0,1,3,8,0,0,0,1,56,2,58,39,413,0,0,0,1,1,5,0,0,0,,1.0,,1.0,,429805,2019-10-03 20:00:00.000 -0400,13.49,-0.11,84000000.0,FREQ,14.0,,,,,,,,,,,,,,,1.0,,,,,https://www.sec.gov/Archives/edgar/data/1703647/000119312519262758/d72917d424b4.htm,2019-10-03
67,20,0,0,4,8,18,16,68,11,0,0,3,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,,,,1.0,,3580879,2022-03-21 20:00:00.000 -0400,16.32,5.5001,360000000.0,FRGE,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1827821/000110465920135233/tm2032742-10_424b4.htm,2022-03-21
1,0,0,0,0,0,4,3,10,12,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,3,4,,1.0,,1.0,,327437,2021-11-03 20:00:00.000 -0400,10.04,0.02,85000000.0,FRLAU,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1849294/000110465921133267/tm2131456d1_424b4.htm,2021-11-03
1,0,0,0,0,0,4,3,10,12,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,3,4,,1.0,,1.0,,249161,2021-12-27 19:00:00.000 -0500,0.4,-0.025,85000000.0,FRLAW,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1849294/000110465921133267/tm2131456d1_424b4.htm,2021-12-27
116,467,0,0,76,95,121,29,135,1,0,13,0,0,2,128,10,0,2,1,2,3,0,0,0,0,0,0,0,0,1,2,0,0,0,,,12.0,1.0,,3032439,2020-09-16 20:00:00.000 -0400,64.5,-0.51,509001600.0,FROG,44.0,,,,,,1.0,,,,,,,,1.0,,,,,,https://www.sec.gov/Archives/edgar/data/1800667/000119312520247176/d841831d424b4.htm,2020-09-16
46,0,0,2,2,0,2,1,55,0,0,0,0,8,0,4,0,0,0,3,0,45,0,3,14,0,10,0,0,0,0,3,0,0,0,,,,1.0,,2130,2021-05-03 20:00:00.000 -0400,10.0,0.14,200000000.0,FRON,10.0,,,,,,,,,1.0,,,,,,,,1.0,,,https://www.sec.gov/Archives/edgar/data/1842223/000110465921035608/tm214195-6_424b4.htm,2021-05-03
102,231,10,3,56,48,30,36,172,10,0,23,0,0,4,72,15,9,30,5,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,,1.0,9.0,1.0,,4212135,2021-09-22 20:00:00.000 -0400,47.8,-2.18,1026000000.0,FRSH,36.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,https://www.sec.gov/Archives/edgar/data/1544522/000162828021019055/freshworks424b4.htm,2021-09-22
11,0,0,0,0,0,4,3,2,0,0,3,0,0,0,2,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,1,0,0,0,1.0,1.0,9.0,1.0,,615639,2021-03-10 19:00:00.000 -0500,9.98,-0.02,200000000.0,FRWAU,10.0,,,,,,,,,,,,,,,,,1.0,,,https://www.sec.gov/Archives/edgar/data/1825739/000110465921035045/tm2033347-4_424b4.htm,2021-03-10
