Fact_ID,Element_Name,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type
Fact000400,SharesOutstanding,6418061.0,Shares,false,AsOf2024-03-31_us-gaap_CommonStockMember,0000923601,,,2024-03-31,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2024-03-31,2024-03-31,xbrl
Fact000393,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,64000.0,USD,false,AsOf2024-03-31_us-gaap_CommonStockMember,0000923601,,,2024-03-31,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2024-03-31,2024-03-31,xbrl
Fact000410,StockGrantedDuringPeriodValueSharebasedCompensation,17000.0,USD,false,From2024-04-012024-06-30_us-gaap_AdditionalPaidInCapitalMember,0000923601,2024-04-01,2024-06-30,,us-gaap,StockGrantedDuringPeriodValueSharebasedCompensation,us-gaap:StockGrantedDuringPeriodValueSharebasedCompensation_2024-06-30,2024-06-30,xbrl
Fact000423,SharesOutstanding,6418061.0,Shares,false,AsOf2024-06-30_us-gaap_CommonStockMember,0000923601,,,2024-06-30,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2024-06-30,2024-06-30,xbrl
Fact000416,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,64000.0,USD,false,AsOf2024-06-30_us-gaap_CommonStockMember,0000923601,,,2024-06-30,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2024-06-30,2024-06-30,xbrl
Fact000432,SharesOutstanding,470825.0,Shares,false,AsOf2024-12-31_us-gaap_CommonStockMember,0000923601,,,2024-12-31,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2024-12-31,2024-12-31,xbrl
Fact000457,StockIssuedDuringPeriodSharesShareBasedCompensation,23818.0,Shares,false,From2025-01-012025-06-30_us-gaap_CommonStockMember,0000923601,2025-01-01,2025-06-30,,us-gaap,StockIssuedDuringPeriodSharesShareBasedCompensation,us-gaap:StockIssuedDuringPeriodSharesShareBasedCompensation_2025-06-30,2025-06-30,xbrl
Fact000451,StockGrantedDuringPeriodValueSharebasedCompensation,47000.0,USD,false,From2025-01-012025-06-30_us-gaap_AdditionalPaidInCapitalMember,0000923601,2025-01-01,2025-06-30,,us-gaap,StockGrantedDuringPeriodValueSharebasedCompensation,us-gaap:StockGrantedDuringPeriodValueSharebasedCompensation_2025-06-30,2025-06-30,xbrl
Fact000518,SharesOutstanding,6418061.0,Shares,false,AsOf2023-12-31_us-gaap_CommonStockMember,0000923601,,,2023-12-31,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2023-12-31,2023-12-31,xbrl
Fact000511,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,64000.0,USD,false,AsOf2023-12-31_us-gaap_CommonStockMember,0000923601,,,2023-12-31,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2023-12-31,2023-12-31,xbrl
Fact000544,StockGrantedDuringPeriodValueSharebasedCompensation,36000.0,USD,false,From2024-01-012024-06-30_us-gaap_AdditionalPaidInCapitalMember,0000923601,2024-01-01,2024-06-30,,us-gaap,StockGrantedDuringPeriodValueSharebasedCompensation,us-gaap:StockGrantedDuringPeriodValueSharebasedCompensation_2024-06-30,2024-06-30,xbrl
Fact000577,DepreciationAndAmortization,96000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,DepreciationAndAmortization,us-gaap:DepreciationAndAmortization_2025-06-30,2025-06-30,xbrl
Fact000578,DepreciationAndAmortization,125000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,DepreciationAndAmortization,us-gaap:DepreciationAndAmortization_2024-06-30,2024-06-30,xbrl
Fact000607,InventoryWriteDown,4000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,InventoryWriteDown,us-gaap:InventoryWriteDown_2025-06-30,2025-06-30,xbrl
Fact000625,ShareBasedCompensation,47000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,ShareBasedCompensation,us-gaap:ShareBasedCompensation_2025-06-30,2025-06-30,xbrl
Fact000626,ShareBasedCompensation,36000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,ShareBasedCompensation,us-gaap:ShareBasedCompensation_2024-06-30,2024-06-30,xbrl
Fact000634,IncreaseDecreaseInAccountsReceivable,2372000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,IncreaseDecreaseInAccountsReceivable,us-gaap:IncreaseDecreaseInAccountsReceivable_2025-06-30,2025-06-30,xbrl
Fact000635,IncreaseDecreaseInAccountsReceivable,4945000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,IncreaseDecreaseInAccountsReceivable,us-gaap:IncreaseDecreaseInAccountsReceivable_2024-06-30,2024-06-30,xbrl
Fact000640,IncreaseDecreaseInAccountsReceivableRelatedParties,88000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,IncreaseDecreaseInAccountsReceivableRelatedParties,us-gaap:IncreaseDecreaseInAccountsReceivableRelatedParties_2025-06-30,2025-06-30,xbrl
