Fact_ID,Element_Name,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type,Trend
Fact001754,AssetsCurrent,23206000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,AssetsCurrent,us-gaap:AssetsCurrent_2023-12-31,2023-12-31,xbrl,-15586000.0
Fact001817,OtherLiabilitiesNoncurrent,3000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,OtherLiabilitiesNoncurrent,us-gaap:OtherLiabilitiesNoncurrent_2023-12-31,2023-12-31,xbrl,0.0
Fact003044,DeferredTaxLiabilitiesPrepaidExpenses,35000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,DeferredTaxLiabilitiesPrepaidExpenses,us-gaap:DeferredTaxLiabilitiesPrepaidExpenses_2023-12-31,2023-12-31,xbrl,-3000.0
Fact001784,AccruedLiabilitiesCurrent,2614000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,AccruedLiabilitiesCurrent,us-gaap:AccruedLiabilitiesCurrent_2023-12-31,2023-12-31,xbrl,681000.0
Fact001763,OtherAssetsNoncurrent,179000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,OtherAssetsNoncurrent,us-gaap:OtherAssetsNoncurrent_2023-12-31,2023-12-31,xbrl,-89000.0
Fact001772,Assets,27715000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,Assets,us-gaap:Assets_2023-12-31,2023-12-31,xbrl,-15020000.0
Fact003035,DeferredTaxLiabilitiesPropertyPlantAndEquipment,67000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,DeferredTaxLiabilitiesPropertyPlantAndEquipment,us-gaap:DeferredTaxLiabilitiesPropertyPlantAndEquipment_2023-12-31,2023-12-31,xbrl,-28000.0
Fact001805,OtherLiabilitiesCurrent,159000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,OtherLiabilitiesCurrent,us-gaap:OtherLiabilitiesCurrent_2023-12-31,2023-12-31,xbrl,-97000.0
Fact000731,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,6703000.0,USD,false,AsOf2023-12-31,0000923601,,,2023-12-31,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations_2023-12-31,2023-12-31,xbrl,-1761000.0
Fact001808,LiabilitiesCurrent,16209000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,LiabilitiesCurrent,us-gaap:LiabilitiesCurrent_2023-12-31,2023-12-31,xbrl,-6959000.0
