Element_Name,Fact_ID,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type,Trend
FinitelivedIntangibleAssetsAcquired1,Fact002344,1050000.0,USD,false,From2024-10-012024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2024-10-01,2024-12-31,,us-gaap,FinitelivedIntangibleAssetsAcquired1,us-gaap:FinitelivedIntangibleAssetsAcquired1_2024-12-31,2024-12-31,xbrl,0.0
GainLossOnSaleOfOtherAssets,Fact003166,44000.0,USD,false,From2023-04-012023-12-31_us-gaap_OperatingSegmentsMember_custom_SingingMachineMember_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,GainLossOnSaleOfOtherAssets,us-gaap:GainLossOnSaleOfOtherAssets_2023-12-31,2023-12-31,xbrl,0.0
GrossProfit,Fact001888,6190000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,GrossProfit,us-gaap:GrossProfit_2023-12-31,2023-12-31,xbrl,5236000.0
IncomeTaxExpenseBenefit,Fact001278,52000.0,USD,false,From2025-01-012025-06-30_us-gaap_DomesticCountryMember,0000923601,2025-01-01,2025-06-30,,us-gaap,IncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit_2025-06-30,2025-06-30,xbrl,0.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,Fact003070,1495000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,us-gaap:IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance_2023-12-31,2023-12-31,xbrl,-2933000.0
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,Fact003055,1344000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,us-gaap:IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate_2023-12-31,2023-12-31,xbrl,-3773000.0
IncreaseDecreaseInAccountsReceivable,Fact002134,5241000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,IncreaseDecreaseInAccountsReceivable,us-gaap:IncreaseDecreaseInAccountsReceivable_2023-12-31,2023-12-31,xbrl,2869000.0
IncreaseDecreaseInAccountsReceivableRelatedParties,Fact002137,30000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,IncreaseDecreaseInAccountsReceivableRelatedParties,us-gaap:IncreaseDecreaseInAccountsReceivableRelatedParties_2023-12-31,2023-12-31,xbrl,-58000.0
IncreaseDecreaseInAccruedLiabilities,Fact002152,348000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,IncreaseDecreaseInAccruedLiabilities,us-gaap:IncreaseDecreaseInAccruedLiabilities_2023-12-31,2023-12-31,xbrl,-799000.0
IncreaseDecreaseInOtherCurrentLiabilities,Fact000668,281000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,IncreaseDecreaseInOtherCurrentLiabilities,us-gaap:IncreaseDecreaseInOtherCurrentLiabilities_2024-06-30,2024-06-30,xbrl,198000.0
IncreaseDecreaseInOtherNoncurrentAssets,Fact002146,76000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,IncreaseDecreaseInOtherNoncurrentAssets,us-gaap:IncreaseDecreaseInOtherNoncurrentAssets_2023-12-31,2023-12-31,xbrl,-447000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,Fact002143,215000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,us-gaap:IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets_2023-12-31,2023-12-31,xbrl,-507000.0
IntangibleAssetsNetExcludingGoodwill,Fact000081,315000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,IntangibleAssetsNetExcludingGoodwill,us-gaap:IntangibleAssetsNetExcludingGoodwill_2025-06-30,2025-06-30,xbrl,-30000.0
InterestExpense,Fact003180,299000.0,USD,false,From2023-04-012023-12-31_us-gaap_OperatingSegmentsMember_custom_SingingMachineMember_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,InterestExpense,us-gaap:InterestExpense_2023-12-31,2023-12-31,xbrl,284000.0
InterestExpenseCapitalSecurities,Fact002544,105400.0,USD,false,From2024-01-012024-12-31_custom_AgileCapilalMerchantCashAdvanceMember_srt_ScenarioPreviouslyReportedMember,0000923601,2024-01-01,2024-12-31,,us-gaap,InterestExpenseCapitalSecurities,us-gaap:InterestExpenseCapitalSecurities_2024-12-31,2024-12-31,xbrl,0.0
InterestExpenseLongTermDebt,Fact001132,11000.0,USD,false,From2025-06-172025-06-17_custom_SecuritiesPurchaseAgreementMember_custom_ThousandEightHundredDiagonalLendingLLCMember,0000923601,2025-06-17,2025-06-17,,us-gaap,InterestExpenseLongTermDebt,us-gaap:InterestExpenseLongTermDebt_2025-06-17,2025-06-17,xbrl,0.0
InventoryNet,Fact000060,2733000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,InventoryNet,us-gaap:InventoryNet_2025-06-30,2025-06-30,xbrl,-4138000.0
InventoryWriteDown,Fact002110,1798000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,InventoryWriteDown,us-gaap:InventoryWriteDown_2023-12-31,2023-12-31,xbrl,1794000.0
Liabilities,Fact000144,9885000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Liabilities,us-gaap:Liabilities_2025-06-30,2025-06-30,xbrl,-10252000.0
LiabilitiesAndStockholdersEquity,Fact000210,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,LiabilitiesAndStockholdersEquity,us-gaap:LiabilitiesAndStockholdersEquity_2025-06-30,2025-06-30,xbrl,-15020000.0
LiabilitiesCurrent,Fact000129,9250000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,LiabilitiesCurrent,us-gaap:LiabilitiesCurrent_2025-06-30,2025-06-30,xbrl,-6959000.0
NetCashProvidedByUsedInFinancingActivities,Fact002209,3411000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,NetCashProvidedByUsedInFinancingActivities,us-gaap:NetCashProvidedByUsedInFinancingActivities_2023-12-31,2023-12-31,xbrl,3032000.0
NetCashProvidedByUsedInInvestingActivities,Fact002185,14000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,NetCashProvidedByUsedInInvestingActivities,us-gaap:NetCashProvidedByUsedInInvestingActivities_2023-12-31,2023-12-31,xbrl,-1345000.0
NetCashProvidedByUsedInOperatingActivities,Fact002164,411000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,NetCashProvidedByUsedInOperatingActivities,us-gaap:NetCashProvidedByUsedInOperatingActivities_2023-12-31,2023-12-31,xbrl,-5025000.0
NetIncomeLoss,Fact003187,6398000.0,USD,false,From2023-04-012023-12-31_us-gaap_OperatingSegmentsMember_custom_SingingMachineMember_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,NetIncomeLoss,us-gaap:NetIncomeLoss_2023-12-31,2023-12-31,xbrl,6088000.0
NetIncomeLossAttributableToNoncontrollingInterest,Fact001935,1110000.0,USD,false,From2024-01-012024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2024-01-01,2024-12-31,,us-gaap,NetIncomeLossAttributableToNoncontrollingInterest,us-gaap:NetIncomeLossAttributableToNoncontrollingInterest_2024-12-31,2024-12-31,xbrl,886000.0
NetIncomeLossAvailableToCommonStockholdersBasic,Fact001939,6398000.0,USD,false,From2023-04-012023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,2023-04-01,2023-12-31,,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic_2023-12-31,2023-12-31,xbrl,5813000.0
NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1,Fact000770,119742.0,Shares,false,From2025-05-022025-05-02_custom_SemiCabIncMember_custom_EquityPurchaseAgreementMember,0000923601,2025-05-02,2025-05-02,,us-gaap,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1,us-gaap:NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1_2025-05-02,2025-05-02,xbrl,0.0
